time, t, R, r, q, v, a, l, step
2019-08-07_14h-24m-21s,24401,201.564,1.00782,9243.18531640625,9243.18531640625,-0.0870840597487986,0.008437767412513494,200
2019-08-07_14h-34m-5s,24601,203.17200000000003,1.0158600000000002,9260.7763359375,9260.7763359375,-0.118804281309247,0.008448650483042,200
2019-08-07_14h-43m-31s,24801,202.62,1.0131000000000001,9278.017652343751,9278.017652343751,-0.12430947664752603,0.008459257394075393,200
2019-08-07_14h-52m-42s,25001,202.608,1.01304,9294.8708828125,9294.8708828125,-0.09003434120118618,0.008392386298626662,200
2019-08-07_15h-1m-53s,25201,201.24,1.0062,9311.388203125,9311.388203125,-0.09206878683716059,0.008455549675971268,200
2019-08-07_15h-11m-13s,25401,201.852,1.00926,9327.5640546875,9327.5640546875,-0.08642142162099481,0.00849041187390685,200
2019-08-07_15h-20m-27s,25601,201.828,1.00914,9343.35055859375,9343.35055859375,-0.085919468306005,0.008484416134655476,200
2019-08-07_15h-29m-41s,25801,201.35999999999999,1.0068,9358.774359375,9358.774359375,-0.08928312120772898,0.008460256446152925,200
2019-08-07_15h-38m-57s,26001,202.272,1.01136,9374.01673046875,9374.01673046875,-0.10177411133050918,0.008487356405705214,200
2019-08-07_15h-48m-14s,26201,201.756,1.00878,9388.98719921875,9388.98719921875,-0.09167237493023275,0.00839851663634181,200
2019-08-07_15h-57m-35s,26401,201.816,1.00908,9403.69880078125,9403.69880078125,-0.12637983115017415,0.008449413865804672,200
2019-08-07_16h-7m-10s,26601,202.05599999999998,1.0102799999999998,9418.067484375,9418.067484375,-0.09816545244678855,0.00847919386997819,200
2019-08-07_16h-16m-35s,26801,201.036,1.00518,9432.06644921875,9432.06644921875,-0.09718042160570621,0.008432417780160904,200
2019-08-07_16h-26m-1s,27001,201.57600000000002,1.00788,9445.79688671875,9445.79688671875,-0.11111842596530914,0.008445700112730265,200
2019-08-07_16h-35m-28s,27201,203.496,1.01748,9459.334222656249,9459.334222656249,-0.10680360306054353,0.008444776259362697,200
2019-08-07_16h-44m-52s,27401,202.02,1.0101,9472.5190625,9472.5190625,-0.08942371087893844,0.008444635469466447,200
2019-08-07_16h-54m-20s,27601,201.012,1.00506,9485.4508515625,9485.4508515625,-0.09901308873295785,0.008426024831831455,200
2019-08-07_17h-3m-48s,27801,203.508,1.0175400000000001,9498.2754375,9498.2754375,-0.11122869752347468,0.008415846437215806,200
2019-08-07_17h-13m-24s,28001,202.044,1.0102200000000001,9510.74871484375,9510.74871484375,-0.08329944644868373,0.008414942651987075,200
2019-08-07_17h-23m-1s,28201,202.608,1.01304,9522.93023828125,9522.93023828125,-0.08832885893061757,0.008432055607438088,200
2019-08-07_17h-32m-30s,28401,202.272,1.01136,9534.9247421875,9534.9247421875,-0.11848993607610465,0.008436263948678972,200
2019-08-07_17h-42m-3s,28601,201.74400000000003,1.00872,9546.702234375,9546.702234375,-0.09876253259181976,0.008433922786265612,200
2019-08-07_17h-51m-32s,28801,201.888,1.0094400000000001,9558.15865625,9558.15865625,-0.10839380814507604,0.008485449023544788,200
2019-08-07_18h-1m-0s,29001,201.132,1.00566,9569.392429687501,9569.392429687501,-0.10993335447832941,0.008453428883105516,200
2019-08-07_18h-10m-35s,29201,201.72000000000003,1.0086000000000002,9580.41501171875,9580.41501171875,-0.0934387139827013,0.008364208038896322,200
