state, action, reward
1.056;0.0119;0.5;0.4881;0.0007;0.028;0.0273,40;50;65,0.984
1.08;0.046;0.5057;0.4483;0.0027;0.0293;0.026,55;120;95,0.936
0.744;0.0541;0.473;0.473;0.0027;0.0233;0.0233,105;90;80,0.876
0.888;0.05;0.45;0.5;0.0033;0.03;0.0333,60;105;110,0.876
1.116;0.0707;0.4545;0.4747;0.0047;0.03;0.0313,105;110;80,0.876
0.42;0.0;0.4923;0.5077;0.0;0.0213;0.022,65;95;90,0.828
0.888;0.023;0.4943;0.4828;0.0013;0.0287;0.028,50;65;95,0.972
0.936;0.0294;0.5098;0.4608;0.002;0.0347;0.0313,40;55;30,0.816
0.408;0.0;0.4844;0.5156;0.0;0.0207;0.022,105;85;60,0.792
0.984;0.012;0.5422;0.4458;0.0007;0.03;0.0247,60;40;50,0.888
0.96;0.0638;0.5;0.4362;0.004;0.0313;0.0273,105;70;55,0.852
1.116;0.0808;0.4848;0.4343;0.0053;0.032;0.0287,95;120;70,0.936
1.104;0.0364;0.4818;0.4818;0.0027;0.0353;0.0353,85;40;65,1.008
0.624;0.0;0.4872;0.5128;0.0;0.0253;0.0267,110;60;95,0.84
0.924;0.037;0.5062;0.4568;0.002;0.0273;0.0247,65;70;120,0.888
1.008;0.0783;0.487;0.4348;0.006;0.0373;0.0333,70;110;105,0.792
1.068;0.0471;0.5176;0.4353;0.0027;0.0293;0.0247,80;115;100,0.888
1.032;0.0494;0.4691;0.4815;0.0027;0.0253;0.026,35;70;120,1.008
1.104;0.044;0.5495;0.4066;0.0027;0.0333;0.0247,115;65;120,0.924
0.528;0.0128;0.5;0.4872;0.0007;0.026;0.0253,40;105;40,0.972
0.768;0.0;0.5139;0.4861;0.0;0.0247;0.0233,100;85;60,0.84
0.6;0.0411;0.4932;0.4658;0.002;0.024;0.0227,120;115;70,0.852
0.792;0.022;0.4835;0.4945;0.0013;0.0293;0.03,100;110;60,0.852
1.092;0.0682;0.4886;0.4432;0.004;0.0287;0.026,85;85;110,0.888
1.008;0.0337;0.5169;0.4494;0.002;0.0307;0.0267,115;120;100,1.044
0.804;0.0294;0.4559;0.5147;0.0013;0.0207;0.0233,65;110;55,0.84
0.636;0.0;0.4783;0.5217;0.0;0.022;0.024,80;115;95,0.888
1.164;0.0192;0.4904;0.4904;0.0013;0.034;0.034,35;75;110,0.924
0.396;0.0137;0.4795;0.5068;0.0007;0.0233;0.0247,30;40;85,0.912
