state, action, reward
1.104;0.0526;0.4737;0.4737;0.0033;0.03;0.03,75;105;105,0.864
1.068;0.0729;0.5208;0.4062;0.0047;0.0333;0.026,100;70;70,0.852
1.14;0.0686;0.5098;0.4216;0.0047;0.0347;0.0287,100;110;80,0.924
0.288;0.0;0.527;0.473;0.0;0.026;0.0233,75;45;120,0.924
1.152;0.0706;0.5294;0.4;0.004;0.03;0.0227,45;110;85,0.996
1.152;0.1471;0.4412;0.4118;0.01;0.03;0.028,110;85;95,0.936
0.744;0.0137;0.5342;0.4521;0.0007;0.026;0.022,60;60;105,0.924
1.056;0.049;0.5098;0.4412;0.0033;0.0347;0.03,115;30;95,0.972
0.84;0.1034;0.4713;0.4253;0.006;0.0273;0.0247,40;100;65,0.852
1.08;0.0455;0.5568;0.3977;0.0027;0.0327;0.0233,50;100;90,0.9
0.996;0.0;0.5055;0.4945;0.0;0.0307;0.03,35;50;35,0.936
0.444;0.0506;0.4937;0.4557;0.0027;0.026;0.024,45;120;105,0.768
1.008;0.036;0.4775;0.4865;0.0027;0.0353;0.036,35;40;85,0.84
0.732;0.0139;0.5;0.4861;0.0007;0.024;0.0233,55;65;95,0.888
1.056;0.0094;0.5094;0.4811;0.0007;0.036;0.034,115;90;35,0.948
0.816;0.0141;0.493;0.493;0.0007;0.0233;0.0233,70;70;45,0.912
0.828;0.0225;0.5056;0.4719;0.0013;0.03;0.028,115;55;115,0.888
0.708;0.013;0.4805;0.5065;0.0007;0.0247;0.026,60;60;100,0.84
0.972;0.023;0.5172;0.4598;0.0013;0.03;0.0267,50;90;30,0.9
1.032;0.0426;0.5106;0.4468;0.0027;0.032;0.028,80;95;85,0.984
0.9;0.0759;0.4557;0.4684;0.004;0.024;0.0247,30;70;30,0.852
0.948;0.0128;0.5385;0.4487;0.0007;0.028;0.0233,85;55;75,0.924
1.116;0.0297;0.4653;0.505;0.002;0.0313;0.034,105;110;110,0.888
1.02;0.0357;0.5119;0.4524;0.002;0.0287;0.0253,35;120;55,0.924
1.068;0.0545;0.4909;0.4545;0.004;0.036;0.0333,105;120;45,0.828
0.9;0.0125;0.475;0.5125;0.0007;0.0253;0.0273,50;30;30,0.924
1.152;0.0077;0.5;0.4923;0.0007;0.0433;0.0427,75;45;45,0.78
0.156;0.0128;0.5385;0.4487;0.0007;0.028;0.0233,100;90;90,0.888
1.116;0.0926;0.4167;0.4907;0.0067;0.03;0.0353,105;95;115,0.936
0.828;0.0465;0.4651;0.4884;0.0027;0.0267;0.028,45;105;80,0.792
0.864;0.0125;0.5125;0.475;0.0007;0.0273;0.0253,35;85;85,0.84
0.972;0.0481;0.5;0.4519;0.0033;0.0347;0.0313,75;30;40,0.804
1.056;0.0723;0.4699;0.4578;0.004;0.026;0.0253,65;105;75,0.9
0.972;0.0094;0.5;0.4906;0.0007;0.0353;0.0347,75;50;95,0.804
0.9;0.0;0.4932;0.5068;0.0;0.024;0.0247,65;105;55,0.852
1.08;0.0556;0.5;0.4444;0.0033;0.03;0.0267,90;55;45,0.936
1.08;0.0112;0.5056;0.4831;0.0007;0.03;0.0287,55;70;60,0.876
0.876;0.0714;0.4694;0.4592;0.0047;0.0307;0.03,65;55;100,0.804
1.032;0.0333;0.5111;0.4556;0.002;0.0307;0.0273,35;55;95,0.9
1.02;0.044;0.4505;0.5055;0.0027;0.0273;0.0307,35;95;40,0.984
0.972;0.0091;0.5;0.4909;0.0007;0.0367;0.036,85;100;80,0.78
0.372;0.0548;0.4795;0.4658;0.0027;0.0233;0.0227,115;40;90,0.792
0.972;0.05;0.55;0.4;0.0027;0.0293;0.0213,55;35;65,0.9
1.008;0.0706;0.5176;0.4118;0.004;0.0293;0.0233,70;35;120,0.876
0.984;0.0244;0.4634;0.5122;0.0013;0.0253;0.028,30;70;100,0.996
1.056;0.0505;0.4747;0.4747;0.0033;0.0313;0.0313,60;70;30,0.948
0.792;0.0426;0.5;0.4574;0.0027;0.0313;0.0287,90;60;85,0.816
0.408;0.0;0.4848;0.5152;0.0;0.0213;0.0227,100;70;65,0.816
0.96;0.0366;0.4512;0.5122;0.002;0.0247;0.028,105;80;85,1.02
1.008;0.0241;0.494;0.4819;0.0013;0.0273;0.0267,90;65;105,0.936
1.056;0.0617;0.4815;0.4568;0.0033;0.026;0.0247,70;75;65,0.852
1.092;0.0707;0.4545;0.4747;0.0047;0.03;0.0313,120;65;85,0.876
1.008;0.046;0.5057;0.4483;0.0027;0.0293;0.026,95;30;70,0.864
0.852;0.026;0.4545;0.5195;0.0013;0.0233;0.0267,110;105;100,0.924
1.128;0.098;0.5;0.402;0.0067;0.034;0.0273,80;85;50,0.9
0.792;0.0361;0.5301;0.4337;0.002;0.0293;0.024,100;45;70,0.828
1.128;0.0543;0.5217;0.4239;0.0033;0.032;0.026,85;70;95,0.984
1.08;0.0674;0.5169;0.4157;0.004;0.0307;0.0247,60;55;90,1.02
0.912;0.0119;0.5476;0.4405;0.0007;0.0307;0.0247,115;65;90,0.888
0.444;0.0;0.507;0.493;0.0;0.024;0.0233,70;80;60,0.9
1.128;0.0283;0.5283;0.4434;0.002;0.0373;0.0313,110;80;45,1.02
0.66;0.0435;0.5109;0.4457;0.0027;0.0313;0.0273,55;85;70,0.768
0.972;0.0;0.5227;0.4773;0.0;0.0307;0.028,110;40;55,1.008
0.996;0.0256;0.4872;0.4872;0.0013;0.0253;0.0253,90;80;85,0.864
0.804;0.0213;0.5532;0.4255;0.0013;0.0347;0.0267,115;115;120,0.888
0.912;0.0506;0.4557;0.4937;0.0027;0.024;0.026,95;80;60,0.936
1.044;0.0227;0.4886;0.4886;0.0013;0.0287;0.0287,70;120;60,1.008
0.972;0.0116;0.4884;0.5;0.0007;0.028;0.0287,30;40;65,0.984
1.068;0.0706;0.4824;0.4471;0.004;0.0273;0.0253,55;70;100,0.936
0.816;0.0;0.5063;0.4937;0.0;0.0267;0.026,110;75;105,0.948
0.948;0.0588;0.5098;0.4314;0.004;0.0347;0.0293,40;75;90,0.828
1.116;0.0761;0.4783;0.4457;0.0047;0.0293;0.0273,120;90;120,0.948
0.828;0.0115;0.4943;0.4943;0.0007;0.0287;0.0287,75;40;105,0.984
1.032;0.0252;0.479;0.4958;0.002;0.038;0.0393,100;110;85,0.828
0.876;0.0174;0.487;0.4957;0.0013;0.0373;0.038,105;85;40,0.744
0.912;0.0137;0.4932;0.4932;0.0007;0.024;0.024,70;95;95,0.876
0.924;0.0556;0.4333;0.5111;0.0033;0.026;0.0307,95;50;110,0.9
1.104;0.0745;0.4787;0.4468;0.0047;0.03;0.028,115;120;115,0.936
1.008;0.0505;0.4848;0.4646;0.0033;0.032;0.0307,85;110;90,0.876
1.032;0.0435;0.5109;0.4457;0.0027;0.0313;0.0273,120;65;30,0.864
0.648;0.0;0.5063;0.4937;0.0;0.0267;0.026,55;115;115,0.876
0.96;0.0227;0.5341;0.4432;0.0013;0.0313;0.026,35;60;30,0.864
0.684;0.0137;0.5205;0.4658;0.0007;0.0253;0.0227,70;80;70,0.876
1.164;0.0804;0.4732;0.4464;0.006;0.0353;0.0333,105;120;65,0.96
0.588;0.0;0.5;0.5;0.0;0.024;0.024,105;80;45,0.936
0.9;0.0143;0.5571;0.4286;0.0007;0.026;0.02,55;40;70,0.888
1.068;0.0455;0.5455;0.4091;0.0027;0.032;0.024,65;85;90,0.912
1.02;0.0125;0.4875;0.5;0.0007;0.026;0.0267,40;55;70,0.84
1.092;0.0879;0.4615;0.4505;0.0053;0.028;0.0273,105;60;40,0.972
1.008;0.0686;0.5;0.4314;0.0047;0.034;0.0293,55;115;120,0.78
0.996;0.0476;0.5119;0.4405;0.0027;0.0287;0.0247,35;70;35,0.912
0.72;0.0299;0.4627;0.5075;0.0013;0.0207;0.0227,45;55;60,0.828
1.056;0.0217;0.5326;0.4457;0.0013;0.0327;0.0273,65;110;35,0.972
0.72;0.0;0.52;0.48;0.0;0.026;0.024,60;35;40,0.948
0.816;0.0125;0.525;0.4625;0.0007;0.028;0.0247,75;95;50,0.888
1.032;0.0244;0.4878;0.4878;0.0013;0.0267;0.0267,90;60;50,0.9
1.056;0.0339;0.4831;0.4831;0.0027;0.038;0.038,120;95;115,0.768
0.588;0.0762;0.4667;0.4571;0.0053;0.0327;0.032,70;100;35,0.756
0.96;0.0274;0.4521;0.5205;0.0013;0.022;0.0253,30;60;85,0.948
1.092;0.037;0.5278;0.4352;0.0027;0.038;0.0313,110;120;35,1.008
0.6;0.0133;0.48;0.5067;0.0007;0.024;0.0253,30;35;85,0.9
0.84;0.0;0.4835;0.5165;0.0;0.0293;0.0313,75;75;85,0.972
0.432;0.0141;0.493;0.493;0.0007;0.0233;0.0233,65;75;60,0.876
1.104;0.0404;0.4747;0.4848;0.0027;0.0313;0.032,60;95;65,1.044
0.552;0.0;0.4795;0.5205;0.0;0.0233;0.0253,95;115;40,0.888
1.128;0.1318;0.4264;0.4419;0.0113;0.0367;0.038,95;65;50,0.744
0.936;0.025;0.5125;0.4625;0.0013;0.0273;0.0247,30;65;30,1.008
0.612;0.0133;0.48;0.5067;0.0007;0.024;0.0253,85;75;65,0.828
0.564;0.0;0.4868;0.5132;0.0;0.0247;0.026,50;115;45,0.864
0.9;0.0;0.487;0.513;0.0;0.0373;0.0393,30;85;40,0.792
0.948;0.0138;0.4966;0.4897;0.0013;0.048;0.0473,110;75;50,0.756
0.18;0.0;0.5217;0.4783;0.0;0.024;0.022,65;90;105,0.816
1.092;0.0341;0.4886;0.4773;0.002;0.0287;0.028,35;60;95,0.984
0.876;0.012;0.5181;0.4699;0.0007;0.0287;0.026,55;70;75,0.84
0.828;0.0349;0.4651;0.5;0.002;0.0267;0.0287,65;35;65,0.912
1.032;0.061;0.5;0.439;0.0033;0.0273;0.024,100;100;105,0.912
1.068;0.0606;0.5051;0.4343;0.004;0.0333;0.0287,60;95;105,0.852
1.044;0.0471;0.5059;0.4471;0.0027;0.0287;0.0253,115;120;85,0.948
0.504;0.0;0.5211;0.4789;0.0;0.0247;0.0227,80;85;65,0.876
1.128;0.0598;0.5214;0.4188;0.0047;0.0407;0.0327,85;115;55,0.804
0.408;0.0;0.4848;0.5152;0.0;0.0213;0.0227,90;50;60,0.84
1.02;0.0426;0.4894;0.4681;0.0027;0.0307;0.0293,40;110;55,0.996
1.056;0.069;0.4741;0.4569;0.0053;0.0367;0.0353,60;70;90,0.804
1.068;0.1786;0.4214;0.4;0.0167;0.0393;0.0373,115;100;45,0.78
0.948;0.0127;0.519;0.4684;0.0007;0.0273;0.0247,80;30;30,1.032
1.044;0.0;0.4938;0.5062;0.0;0.0267;0.0273,35;60;45,1.128
0.864;0.0128;0.5;0.4872;0.0007;0.026;0.0253,75;45;115,0.888
0.936;0.0183;0.4862;0.4954;0.0013;0.0353;0.036,35;110;40,0.804
0.624;0.0;0.4935;0.5065;0.0;0.0253;0.026,55;35;115,0.96
1.188;0.0727;0.4455;0.4818;0.0053;0.0327;0.0353,85;75;100,0.96
0.864;0.0106;0.5426;0.4468;0.0007;0.034;0.028,110;110;80,0.876
0.96;0.0519;0.4675;0.4805;0.0027;0.024;0.0247,110;50;35,0.948
0.924;0.0459;0.4862;0.4679;0.0033;0.0353;0.034,80;55;55,0.9
1.02;0.046;0.5172;0.4368;0.0027;0.03;0.0253,90;95;40,0.828
0.588;0.0108;0.4946;0.4946;0.0007;0.0307;0.0307,50;115;110,0.852
0.84;0.0122;0.5244;0.4634;0.0007;0.0287;0.0253,75;60;50,0.852
0.384;0.0;0.4932;0.5068;0.0;0.024;0.0247,65;80;60,0.888
0.828;0.0;0.4865;0.5135;0.0;0.024;0.0253,95;65;60,0.924
0.9;0.0211;0.5053;0.4737;0.0013;0.032;0.03,120;45;80,0.876
0.816;0.0133;0.5067;0.48;0.0007;0.0253;0.024,55;40;45,0.924
0.732;0.0;0.5;0.5;0.0;0.0273;0.0273,70;60;65,0.912
1.008;0.0451;0.4887;0.4662;0.004;0.0433;0.0413,60;30;105,0.744
0.144;0.0256;0.5;0.4744;0.0013;0.026;0.0247,50;75;120,0.792
1.056;0.0417;0.4896;0.4688;0.0027;0.0313;0.03,70;70;40,0.948
1.056;0.0375;0.475;0.4875;0.002;0.0253;0.026,60;90;65,0.996
0.588;0.0114;0.5;0.4886;0.0007;0.0293;0.0287,65;120;95,0.792
0.948;0.0122;0.5122;0.4756;0.0007;0.028;0.026,65;100;70,0.96
0.924;0.0602;0.4819;0.4578;0.0033;0.0267;0.0253,40;115;35,0.744
1.092;0.0602;0.4819;0.4578;0.0033;0.0267;0.0253,115;60;115,0.96
0.804;0.0435;0.5217;0.4348;0.002;0.024;0.02,40;85;55,0.864
1.068;0.043;0.5054;0.4516;0.0027;0.0313;0.028,70;120;40,0.972
0.504;0.0145;0.5072;0.4783;0.0007;0.0233;0.022,90;120;95,0.768
0.852;0.0225;0.5056;0.4719;0.0013;0.03;0.028,90;100;105,0.768
0.984;0.0118;0.5294;0.4588;0.0007;0.03;0.026,45;100;120,0.912
0.84;0.0;0.4941;0.5059;0.0;0.028;0.0287,115;75;70,0.852
1.104;0.0638;0.4787;0.4574;0.004;0.03;0.0287,85;45;120,1.032
1.092;0.0522;0.487;0.4609;0.004;0.0373;0.0353,120;110;65,0.828
1.008;0.0135;0.527;0.4595;0.0007;0.026;0.0227,45;115;80,0.912
0.528;0.0;0.5139;0.4861;0.0;0.0247;0.0233,40;115;70,0.864
0.948;0.0;0.5211;0.4789;0.0;0.0247;0.0227,100;30;30,1.008
1.008;0.0;0.5067;0.4933;0.0;0.0253;0.0247,60;35;85,1.08
0.996;0.0267;0.4533;0.52;0.0013;0.0227;0.026,85;115;30,0.996
0.96;0.0225;0.5056;0.4719;0.0013;0.03;0.028,120;85;75,0.936
0.888;0.0;0.4923;0.5077;0.0;0.0213;0.022,85;30;85,0.924
0.984;0.0366;0.5244;0.439;0.002;0.0287;0.024,45;105;70,0.9
0.96;0.0137;0.5205;0.4658;0.0007;0.0253;0.0227,105;60;100,0.816
0.744;0.0125;0.4875;0.5;0.0007;0.026;0.0267,85;115;85,0.972
0.732;0.0127;0.4684;0.519;0.0007;0.0247;0.0273,90;35;95,0.96
0.792;0.0125;0.4875;0.5;0.0007;0.026;0.0267,55;90;35,0.864
1.056;0.0594;0.4653;0.4752;0.004;0.0313;0.032,95;70;100,0.9
1.068;0.0556;0.4667;0.4778;0.0033;0.028;0.0287,105;40;100,0.912
0.84;0.1058;0.4808;0.4135;0.0073;0.0333;0.0287,55;85;110,0.78
1.092;0.046;0.5057;0.4483;0.0027;0.0293;0.026,105;120;90,0.864
0.84;0.0116;0.4419;0.5465;0.0007;0.0253;0.0313,55;100;45,0.996
1.068;0.0115;0.4253;0.5632;0.0007;0.0247;0.0327,75;55;45,0.996
0.552;0.0;0.4853;0.5147;0.0;0.022;0.0233,120;50;80,0.852
1.068;0.0;0.4943;0.5057;0.0;0.0287;0.0293,30;70;75,0.972
0.972;0.0;0.5104;0.4896;0.0;0.0327;0.0313,35;55;30,0.924
0.732;0.0;0.48;0.52;0.0;0.024;0.026,115;55;45,0.924
0.972;0.0244;0.5;0.4756;0.0013;0.0273;0.026,85;40;45,0.912
1.104;0.0619;0.4433;0.4948;0.004;0.0287;0.032,50;75;75,0.924
1.008;0.0814;0.4651;0.4535;0.0047;0.0267;0.026,115;45;45,0.888
0.972;0.0105;0.5263;0.4632;0.0007;0.0333;0.0293,75;110;115,0.924
1.02;0.0238;0.4881;0.4881;0.0013;0.0273;0.0273,40;45;75,0.996
1.02;0.0333;0.5111;0.4556;0.002;0.0307;0.0273,95;35;50,0.924
0.516;0.0;0.5395;0.4605;0.0;0.0273;0.0233,75;45;85,0.816
1.14;0.0426;0.4894;0.4681;0.0027;0.0307;0.0293,75;100;60,0.996
1.008;0.1167;0.4583;0.425;0.0093;0.0367;0.034,70;105;65,0.744
1.092;0.0244;0.5244;0.4512;0.0013;0.0287;0.0247,75;60;95,0.924
1.044;0.0326;0.5217;0.4457;0.002;0.032;0.0273,70;60;60,0.972
0.984;0.0449;0.5281;0.427;0.0027;0.0313;0.0253,55;115;30,0.96
1.152;0.0367;0.5229;0.4404;0.0027;0.038;0.032,80;120;55,0.996
0.636;0.0638;0.5;0.4362;0.004;0.0313;0.0273,75;70;95,0.768
0.996;0.023;0.5057;0.4713;0.0013;0.0293;0.0273,65;80;30,0.888
1.008;0.1008;0.4341;0.4651;0.0087;0.0373;0.04,110;45;30,0.756
0.792;0.0;0.4691;0.5309;0.0;0.0253;0.0287,90;65;75,0.888
0.552;0.0133;0.52;0.4667;0.0007;0.026;0.0233,50;100;90,0.9
1.02;0.0753;0.4839;0.4409;0.0047;0.03;0.0273,95;65;30,0.996
0.864;0.0241;0.5301;0.4458;0.0013;0.0293;0.0247,50;35;100,0.828
0.648;0.012;0.4819;0.506;0.0007;0.0267;0.028,45;65;30,0.852
1.032;0.0227;0.5;0.4773;0.0013;0.0293;0.028,50;30;120,1.044
1.032;0.0659;0.5275;0.4066;0.004;0.032;0.0247,65;40;35,0.972
0.876;0.0263;0.5132;0.4605;0.0013;0.026;0.0233,90;45;95,0.864
1.14;0.069;0.5;0.431;0.0053;0.0387;0.0333,80;90;55,0.864
0.972;0.0;0.5181;0.4819;0.0;0.0287;0.0267,65;30;90,0.876
1.164;0.0;0.5258;0.4742;0.0;0.034;0.0307,115;90;55,1.08
1.104;0.046;0.4598;0.4943;0.0027;0.0267;0.0287,115;105;100,0.876
0.696;0.0;0.5;0.5;0.0;0.0253;0.0253,60;30;85,0.792
1.092;0.1237;0.4124;0.4639;0.008;0.0267;0.03,105;65;60,0.9
0.996;0.026;0.5065;0.4675;0.0013;0.026;0.024,40;90;80,0.876
0.96;0.0;0.5;0.5;0.0;0.0247;0.0247,60;35;80,1.032
1.02;0.0247;0.4815;0.4938;0.0013;0.026;0.0267,75;110;95,0.888
1.068;0.0112;0.5056;0.4831;0.0007;0.03;0.0287,55;85;75,0.936
1.14;0.0551;0.4567;0.4882;0.0047;0.0387;0.0413,80;115;120,0.78
0.3;0.0;0.4907;0.5093;0.0;0.0353;0.0367,100;120;105,0.768
0.18;0.0;0.4559;0.5441;0.0;0.0207;0.0247,105;75;40,0.876
0.984;0.025;0.5;0.475;0.0013;0.0267;0.0253,35;85;50,0.972
1.02;0.0;0.5059;0.4941;0.0;0.0287;0.028,100;50;40,0.984
1.08;0.0227;0.5;0.4773;0.0013;0.0293;0.028,100;60;110,0.948
0.78;0.0208;0.4688;0.5104;0.0013;0.03;0.0327,105;75;40,0.96
1.104;0.0645;0.4624;0.4731;0.004;0.0287;0.0293,55;115;60,0.912
0.816;0.0115;0.4483;0.5402;0.0007;0.026;0.0313,60;105;55,0.912
1.092;0.0215;0.5269;0.4516;0.0013;0.0327;0.028,80;105;65,0.936
0.948;0.0137;0.4795;0.5068;0.0007;0.0233;0.0247,105;40;45,0.96
0.876;0.0449;0.4831;0.4719;0.0027;0.0287;0.028,60;70;45,0.84
0.948;0.0;0.52;0.48;0.0;0.026;0.024,30;35;60,0.996
0.732;0.0141;0.4648;0.5211;0.0007;0.022;0.0247,105;30;110,0.864
1.116;0.0435;0.5217;0.4348;0.0027;0.032;0.0267,55;65;65,0.996
0.708;0.0141;0.493;0.493;0.0007;0.0233;0.0233,120;50;50,0.9
0.984;0.0213;0.5426;0.4362;0.0013;0.034;0.0273,105;55;45,0.936
0.804;0.0641;0.4744;0.4615;0.0033;0.0247;0.024,80;110;55,0.924
1.068;0.0227;0.4886;0.4886;0.0013;0.0287;0.0287,30;95;90,0.912
1.044;0.0602;0.4578;0.4819;0.0033;0.0253;0.0267,65;85;35,0.984
0.984;0.0353;0.4588;0.5059;0.002;0.026;0.0287,80;35;100,1.056
0.948;0.0824;0.4706;0.4471;0.0047;0.0267;0.0253,105;40;40,0.948
0.948;0.0133;0.4933;0.4933;0.0007;0.0247;0.0247,60;120;105,0.936
0.912;0.0361;0.4699;0.494;0.002;0.026;0.0273,100;90;90,0.948
0.924;0.0482;0.5301;0.4217;0.0027;0.0293;0.0233,110;110;110,0.912
0.888;0.0385;0.5128;0.4487;0.002;0.0267;0.0233,35;70;35,0.9
0.756;0.0141;0.5211;0.4648;0.0007;0.0247;0.022,100;75;45,0.972
0.648;0.0244;0.4756;0.5;0.0013;0.026;0.0273,70;70;80,0.9
0.456;0.0;0.4478;0.5522;0.0;0.02;0.0247,40;50;45,0.84
1.128;0.0792;0.4653;0.4554;0.0053;0.0313;0.0307,95;80;55,0.936
0.6;0.0;0.4928;0.5072;0.0;0.0227;0.0233,100;80;105,0.912
0.768;0.0;0.4744;0.5256;0.0;0.0247;0.0273,90;90;95,1.032
1.08;0.0316;0.5053;0.4632;0.002;0.032;0.0293,30;105;120,1.008
0.972;0.0247;0.4938;0.4815;0.0013;0.0267;0.026,35;120;75,0.984
0.408;0.0;0.4478;0.5522;0.0;0.02;0.0247,75;45;80,0.948
0.768;0.0;0.4667;0.5333;0.0;0.0233;0.0267,110;120;40,0.888
0.888;0.0476;0.4881;0.4643;0.0027;0.0273;0.026,35;120;50,0.948
0.6;0.0282;0.5211;0.4507;0.0013;0.0247;0.0213,95;115;50,0.876
1.068;0.066;0.5283;0.4057;0.0047;0.0373;0.0287,115;45;50,0.9
1.032;0.0857;0.4667;0.4476;0.006;0.0327;0.0313,115;65;55,0.78
0.972;0.0119;0.4524;0.5357;0.0007;0.0253;0.03,105;90;115,0.84
1.116;0.0808;0.4949;0.4242;0.0053;0.0327;0.028,115;110;55,0.888
0.924;0.0;0.5375;0.4625;0.0;0.0287;0.0247,115;35;120,0.864
0.552;0.0127;0.481;0.5063;0.0007;0.0253;0.0267,75;85;40,0.876
0.804;0.0;0.4932;0.5068;0.0;0.024;0.0247,35;45;90,0.84
0.876;0.0633;0.481;0.4557;0.0033;0.0253;0.024,100;90;105,0.9
0.96;0.0;0.5244;0.4756;0.0;0.0287;0.026,110;40;70,0.936
1.104;0.0818;0.4909;0.4273;0.006;0.036;0.0313,80;90;45,0.96
0.576;0.0;0.5294;0.4706;0.0;0.024;0.0213,80;115;115,0.924
0.9;0.0408;0.5408;0.4184;0.0027;0.0353;0.0273,115;90;105,0.972
1.068;0.0106;0.5319;0.4574;0.0007;0.0333;0.0287,65;65;100,0.96
0.804;0.027;0.4595;0.5135;0.0013;0.0227;0.0253,70;40;115,0.948
0.852;0.0123;0.5185;0.4691;0.0007;0.028;0.0253,100;35;110,0.996
1.08;0.0652;0.4891;0.4457;0.004;0.03;0.0273,70;75;60,0.816
1.056;0.0417;0.4583;0.5;0.002;0.022;0.024,50;85;95,0.984
1.032;0.0;0.4545;0.5455;0.0;0.0233;0.028,60;75;50,0.972
1.068;0.0515;0.4536;0.4948;0.0033;0.0293;0.032,120;40;110,0.984
0.852;0.0405;0.4865;0.473;0.002;0.024;0.0233,105;70;105,0.768
1.02;0.0114;0.5227;0.4659;0.0007;0.0307;0.0273,105;40;40,0.984
0.588;0.0141;0.4648;0.5211;0.0007;0.022;0.0247,35;105;35,0.924
1.164;0.1417;0.45;0.4083;0.0113;0.036;0.0327,100;105;70,0.864
1.056;0.0;0.4881;0.5119;0.0;0.0273;0.0287,40;95;50,1.104
0.996;0.0278;0.5;0.4722;0.0013;0.024;0.0227,60;60;115,0.936
1.044;0.0476;0.4952;0.4571;0.0033;0.0347;0.032,60;50;90,0.84
0.612;0.0;0.4932;0.5068;0.0;0.024;0.0247,30;45;30,0.948
0.972;0.0714;0.4881;0.4405;0.004;0.0273;0.0247,40;40;85,0.816
0.96;0.0471;0.5059;0.4471;0.0027;0.0287;0.0253,120;40;45,0.972
1.08;0.0556;0.5111;0.4333;0.0033;0.0307;0.026,115;60;70,0.9
0.936;0.0;0.5056;0.4944;0.0;0.03;0.0293,30;70;30,0.84
0.828;0.0968;0.4597;0.4435;0.008;0.038;0.0367,85;85;55,0.744
1.056;0.0617;0.4938;0.4444;0.0033;0.0267;0.024,100;35;110,0.912
1.044;0.0213;0.4468;0.5319;0.0013;0.028;0.0333,95;60;35,0.948
0.84;0.0267;0.4667;0.5067;0.0013;0.0233;0.0253,115;30;45,0.888
0.972;0.0345;0.5057;0.4598;0.002;0.0293;0.0267,30;70;85,0.936
1.068;0.0233;0.5116;0.4651;0.0013;0.0293;0.0267,45;75;95,0.996
0.66;0.0143;0.5286;0.4571;0.0007;0.0247;0.0213,65;40;75,0.924
0.708;0.0128;0.4744;0.5128;0.0007;0.0247;0.0267,50;100;120,0.924
0.924;0.0;0.4688;0.5312;0.0;0.03;0.034,30;35;45,0.876
0.888;0.0988;0.4753;0.4259;0.0107;0.0513;0.046,65;55;120,0.756
0.972;0.0135;0.5;0.4865;0.0007;0.0247;0.024,85;95;105,0.912
0.9;0.0;0.5529;0.4471;0.0;0.0313;0.0253,115;75;35,0.804
1.092;0.0;0.5169;0.4831;0.0;0.0307;0.0287,95;110;100,0.9
0.936;0.0952;0.5048;0.4;0.0067;0.0353;0.028,95;70;50,0.816
1.092;0.0;0.5604;0.4396;0.0;0.034;0.0267,80;60;90,0.948
1.08;0.0303;0.5051;0.4646;0.002;0.0333;0.0307,120;65;120,0.876
0.432;0.0;0.4928;0.5072;0.0;0.0227;0.0233,45;45;75,0.852
1.008;0.0111;0.5333;0.4556;0.0007;0.032;0.0273,50;35;45,0.936
1.044;0.0202;0.5152;0.4646;0.0013;0.034;0.0307,40;85;85,0.852
0.972;0.0345;0.5057;0.4598;0.002;0.0293;0.0267,110;80;110,0.888
0.744;0.0353;0.4824;0.4824;0.002;0.0273;0.0273,60;50;95,0.936
1.068;0.0789;0.5175;0.4035;0.006;0.0393;0.0307,120;90;35,0.828
0.612;0.0098;0.4804;0.5098;0.0007;0.0327;0.0347,115;55;110,0.756
0.96;0.0118;0.4941;0.4941;0.0007;0.028;0.028,120;40;90,0.9
1.08;0.0242;0.5;0.4758;0.002;0.0413;0.0393,115;40;75,0.792
1.032;0.0405;0.4865;0.473;0.002;0.024;0.0233,85;85;40,0.948
0.792;0.037;0.4815;0.4815;0.002;0.026;0.026,85;65;60,1.008
1.116;0.0729;0.4583;0.4688;0.0047;0.0293;0.03,105;120;45,0.9
0.828;0.0127;0.4937;0.4937;0.0007;0.026;0.026,110;60;115,0.936
0.9;0.0723;0.494;0.4337;0.004;0.0273;0.024,85;95;55,0.948
1.02;0.0241;0.5181;0.4578;0.0013;0.0287;0.0253,30;90;90,0.924
1.044;0.0115;0.4828;0.5057;0.0007;0.028;0.0293,115;90;95,0.96
0.96;0.0244;0.5244;0.4512;0.0013;0.0287;0.0247,35;50;55,0.852
0.732;0.0;0.519;0.481;0.0;0.0273;0.0253,110;60;100,0.864
1.14;0.0648;0.4815;0.4537;0.0047;0.0347;0.0327,120;110;45,0.912
0.876;0.0625;0.4875;0.45;0.0033;0.026;0.024,115;110;70,0.864
1.056;0.028;0.4579;0.514;0.002;0.0327;0.0367,60;115;65,0.84
1.056;0.0;0.4886;0.5114;0.0;0.0287;0.03,65;95;70,0.984
0.624;0.0;0.5;0.5;0.0;0.0253;0.0253,40;75;60,0.852
1.152;0.0;0.5392;0.4608;0.0;0.0367;0.0313,65;120;45,0.9
1.092;0.0;0.5348;0.4652;0.0;0.0667;0.058,55;40;110,0.744
0.168;0.0423;0.4648;0.493;0.002;0.022;0.0233,35;105;60,0.864
1.08;0.0217;0.4783;0.5;0.0013;0.0293;0.0307,70;35;100,0.912
1.08;0.112;0.456;0.432;0.0093;0.038;0.036,70;95;45,0.744
1.08;0.0225;0.4719;0.5056;0.0013;0.028;0.03,110;65;65,0.852
0.756;0.0309;0.4845;0.4845;0.002;0.0313;0.0313,85;80;90,0.936
0.792;0.0471;0.4824;0.4706;0.0027;0.0273;0.0267,105;45;115,0.864
0.924;0.026;0.5065;0.4675;0.0013;0.026;0.024,40;65;30,0.9
